Student Contributor Name,Address,Zip Code,Price Sold,Date Sold,Number of Bedrooms,Number of Bathrooms (add 0.5 for a half bath),Year Built,Squared Feet,Lot size (in sqft),Number of Parking Spots
Miranda Knisley,"6993 Bramble Hill Dr, Cincinnati, OH",45227,550000,10/19/2023,3,2,1684,1957,7840,N/A
He Yang,"8305 Blome Rd, Cincinnati, ",45243,853000,5/5/2023,4,3,1826,3468,150717,2
Surya Sanjay Bandari,"4170 Apple St, Cincinnati, OH",45223,160000,12/29/2023,4,2,1844,2124,2221,1
Adapa Veda Supraja,"1420 Main St UNIT 3-E, Cincinnati, OH ",45202,341000,12/8/2023,2,1,1850,2457,NA,2
Rachael Rahe,"4264 Walton Creek Rd, Cincinnati, OH",45243,837500,9/30/2022,4,3,1850,7371,35719.2,5
Nikhita Veluri,"6988 Five Mile Rd, Cincinnati, OH",45230,485000,9/8/2023,4,2.5,1861,1280,125452,2
Sergio Mateo,6988 Five Mile Rd,45230,485000,9/8/2023,4,3,1861,1280,125453,2
Jameson Zink,"3014 W Liberty St,Cincinnati,OH",45204,188000,1/12/2024,1,1,1865,1229,10149.48,NA
Ranjay Bose,"3014 W Liberty St,Cincinnati,OH",45204,188000,1/12/2024,1,1,1865,1229,10149.48,1
Lokesh Rudravalambi Suresh,"3014 W Liberty St, Cincinnati",45204,188000,1/12/2024,1,1,1865,1229,10149,0
Caylee Rosa,"2132 Miles Rd, Cincinnati, OH",45231,250000,11/14/2023,3,2,1865,"2,190",45738,N/A
Lokesh Rudravalambi Suresh,"1548 Lingo St, Cincinnati",45223,313000,1/11/2023,2,2,1865,2508,3005,0
Nikhil Sai Kumar Runku,"805 Tusculum Ave, Cincinnati, OH",45226,2525000,6/30/2021,6,5,1869,5255,178596,2
Shreyas Nadig,"302 Emming St, Cincinnati",45219,195000,9/12/2022,2,2,1870,"1,344",2395,
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"388 North St, Batavia, OH",45103,350000,1/5/2024,3,1,1870,2838,4791,2
Matt Guido,"1121 Wareham Dr, Cincinnati",45202,584900,12/20/2023,5,2.5,1871,2103,7021,NAN
Ishaan Chaudhari,"775 Johnson Rd, Harrodsburg",40330,500000,11/27/2023,3,2,1873,2100,5619240,0
Shreyas Nadig,"406 Mohawk St, Cincinnati",45219,382500,9/14/2023,3,3,1874,"1,850",2482,
Hrishikesh Anil Patil,"2304 Lehman Rd, Cincinnati, OH",45204,70000,12/29/2023,2,2,1875,2319,827.64,NA
Derek Schult,6524 Desmond St,45227,115000,3/8/2023,3,1,1875,1634,11326,0
Sergio Mateo,6224 Wren St,45233,187000,9/7/2023,4,2,1875,1706,5662.8,1
Archana Basnett,"15 W 4th St, Cincinnati, OH",45202,1050000,11/16/2023,3,3,1875,3460,11325.6,1
Georgia Croci,"15 West 4th Street, Cincinnati OH",45202,1050000,11/16/2023,3,3,1875,3460,NA,2
